 iter.       Mw      misfit   roughness
    0    0.0000    1.000000  0.000000E+00
    1    5.7299    0.383571  0.197237E-01
    2    5.7316    0.332326  0.116049E-01
    3    5.7350    0.319491  0.830315E-02
    4    5.7377    0.305713  0.767220E-02
    5    5.7412    0.295570  0.712875E-02
    6    5.7439    0.286910  0.672997E-02
    7    5.7472    0.278517  0.664115E-02
    8    5.7496    0.271928  0.629948E-02
    9    5.7527    0.264792  0.632323E-02
   10    5.7550    0.259373  0.601627E-02
   11    5.7578    0.253304  0.604448E-02
   12    5.7600    0.248812  0.574039E-02
   13    5.7626    0.243478  0.578372E-02
   14    5.7646    0.239456  0.553622E-02
   15    5.7671    0.234669  0.558847E-02
   16    5.7689    0.231026  0.538111E-02
   17    5.7711    0.226686  0.543747E-02
   18    5.7728    0.223366  0.525956E-02
   19    5.7749    0.219399  0.531790E-02
   20    5.7764    0.216358  0.516296E-02
   21    5.7783    0.212711  0.522161E-02
   22    5.7798    0.209909  0.508576E-02
   23    5.7815    0.206543  0.514302E-02
   24    5.7829    0.203949  0.502327E-02
   25    5.7845    0.200830  0.507826E-02
   26    5.7858    0.198420  0.497198E-02
   27    5.7873    0.195521  0.502415E-02
   28    5.7885    0.193274  0.492926E-02
   29    5.7899    0.190573  0.497833E-02
   30    5.7910    0.188474  0.489297E-02
   31    5.7923    0.185950  0.493896E-02
   32    5.7933    0.183984  0.486193E-02
   33    5.7945    0.181619  0.490514E-02
   34    5.7955    0.179774  0.483519E-02
   35    5.7966    0.177553  0.487587E-02
   36    5.7975    0.175818  0.481201E-02
   37    5.7986    0.173728  0.485007E-02
   38    5.7995    0.172093  0.479165E-02
   39    5.8005    0.170124  0.482730E-02
   40    5.8013    0.168582  0.477356E-02
   41    5.8022    0.166723  0.480705E-02
   42    5.8030    0.165266  0.475726E-02
   43    5.8039    0.163510  0.478863E-02
   44    5.8046    0.162137  0.474174E-02
   45    5.8054    0.160474  0.477141E-02
   46    5.8061    0.159174  0.472791E-02
   47    5.8069    0.157601  0.475559E-02
   48    5.8075    0.156369  0.471516E-02
   49    5.8083    0.154878  0.474100E-02
   50    5.8088    0.153710  0.470333E-02
