       latitude      longitude observation     resiual  prediction     u_north      u_east        u_up
       37.65911     -118.42780    -0.00010     0.00008    -0.00018    -0.00040    -0.00009     0.00005
       37.65979     -118.14450     0.00015     0.00097    -0.00083    -0.00128    -0.00016    -0.00014
       37.88435     -118.42910     0.00047     0.00038     0.00009    -0.00010     0.00031     0.00023
       37.82862     -118.21580     0.00043     0.00119    -0.00076    -0.00047     0.00061    -0.00053
       37.82879     -118.07380    -0.00015     0.00236    -0.00251    -0.00106     0.00043    -0.00228
       37.94124     -118.21610    -0.00090     0.00028    -0.00118    -0.00007     0.00282    -0.00106
       37.90083     -118.12510    -0.00319     0.00134    -0.00453     0.00163     0.00380    -0.00619
       37.89861     -118.09100    -0.00503     0.00118    -0.00621     0.00222     0.00344    -0.00869
       37.92786     -118.12510    -0.00804    -0.00093    -0.00711     0.00261     0.00649    -0.00969
       37.92112     -118.09950    -0.00968    -0.00084    -0.00883     0.00353     0.00586    -0.01250
       37.91889     -118.08250    -0.01055    -0.00046    -0.01009     0.00399     0.00526    -0.01444
       37.93464     -118.09950    -0.01457    -0.00299    -0.01158     0.00420     0.00766    -0.01610
       37.93465     -118.08250    -0.01738    -0.00315    -0.01423     0.00501     0.00729    -0.01994
       37.90088     -118.05680    -0.00746     0.00087    -0.00832     0.00293     0.00269    -0.01186
       37.90089     -118.02270    -0.00854     0.00088    -0.00942     0.00309     0.00108    -0.01350
       37.92115     -118.06540    -0.01340    -0.00111    -0.01229     0.00467     0.00486    -0.01763
       37.92115     -118.04830    -0.01482    -0.00107    -0.01374     0.00501     0.00388    -0.01976
       37.93466     -118.06540    -0.02017    -0.00336    -0.01681     0.00556     0.00646    -0.02357
       37.93467     -118.04550    -0.02282    -0.00348    -0.01934     0.00595     0.00502    -0.02710
       37.92116     -118.02840    -0.01727    -0.00235    -0.01492     0.00522     0.00241    -0.02152
       37.92117     -118.01140    -0.01661    -0.00128    -0.01533     0.00521     0.00092    -0.02220
       37.93018     -118.02560    -0.02202    -0.00323    -0.01879     0.00596     0.00276    -0.02671
       37.93918     -118.03130    -0.02842    -0.00535    -0.02307     0.00617     0.00411    -0.03192
       37.93468     -118.01140    -0.02628    -0.00474    -0.02154     0.00621     0.00146    -0.03040
       37.95488     -118.12800    -0.01109    -0.00132    -0.00977     0.00178     0.00909    -0.01205
       37.94815     -118.09960    -0.01782    -0.00282    -0.01500     0.00422     0.00960    -0.02006
       37.94817     -118.08250    -0.02424    -0.00523    -0.01901     0.00505     0.00919    -0.02557
       37.96167     -118.09960    -0.02019    -0.00183    -0.01835     0.00285     0.01109    -0.02302
       37.95943     -118.08250    -0.02666    -0.00324    -0.02342     0.00382     0.01058    -0.02994
       37.97515     -118.13660    -0.00705    -0.00063    -0.00641    -0.00055     0.00671    -0.00663
       37.97966     -118.12240    -0.00849    -0.00031    -0.00819    -0.00106     0.00652    -0.00847
       37.99091     -118.13660    -0.00220    -0.00433     0.00214     0.00127     0.00102     0.00186
       37.98868     -118.11950    -0.00433    -0.00129    -0.00304     0.00023     0.00253    -0.00357
       37.97519     -118.09390    -0.01892     0.00147    -0.02039    -0.00042     0.01101    -0.02326
       37.97968     -118.10530    -0.01277    -0.00021    -0.01256    -0.00161     0.00815    -0.01323
       37.97069     -118.08820    -0.02478    -0.00092    -0.02386     0.00100     0.01147    -0.02843
       37.97070     -118.07680    -0.02930    -0.00032    -0.02898     0.00086     0.01115    -0.03462
