       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.01444     0.04984     0.00000
       35.08572      136.04120     0.05440    -0.01735     0.07175     0.00000
       34.71065      136.04189     0.03590    -0.02476     0.06066     0.00000
       36.10973      136.04895     0.10030    -0.00786     0.10816     0.00000
       34.56703      136.05039     0.03800    -0.01883     0.05683     0.00000
       35.46629      136.05367     0.06040    -0.02413     0.08453     0.00000
       34.86933      136.05483     0.03740    -0.02788     0.06528     0.00000
       35.83684      136.05598     0.07780    -0.02019     0.09799     0.00000
       35.31897      136.06283     0.06710    -0.01249     0.07959     0.00000
       35.60256      136.10581     0.06500    -0.02520     0.09020     0.00000
       34.98638      136.14504     0.04870    -0.02087     0.06957     0.00000
       35.09473      136.15823     0.06010    -0.01307     0.07317     0.00000
       36.23117      136.17297     0.10410    -0.01206     0.11616     0.00000
       34.49387      136.17315     0.02480    -0.03064     0.05544     0.00000
       34.74287      136.18345     0.03140    -0.03104     0.06244     0.00000
       35.96889      136.18499     0.08300    -0.02284     0.10584     0.00000
       35.79278      136.19739     0.07440    -0.02469     0.09909     0.00000
       35.55733      136.19795     0.06820    -0.02181     0.09001     0.00000
       34.06066      136.19836     0.04310    -0.00189     0.04499     0.00000
       35.26944      136.23561     0.06510    -0.01488     0.07998     0.00000
       35.42036      136.26475     0.07990    -0.00597     0.08587     0.00000
       36.14562      136.27894     0.11710     0.00162     0.11548     0.00000
       34.93073      136.29557     0.05540    -0.01362     0.06902     0.00000
       34.64875      136.32976     0.03880    -0.02169     0.06049     0.00000
       34.43314      136.33426     0.03370    -0.02072     0.05442     0.00000
       35.88822      136.33958     0.08070    -0.02529     0.10599     0.00000
       34.20816      136.34293     0.04260    -0.00606     0.04866     0.00000
       36.22956      136.36165     0.10800    -0.01344     0.12144     0.00000
       34.29793      136.38849     0.02940    -0.02161     0.05101     0.00000
       36.39446      136.38894     0.11250    -0.01718     0.12968     0.00000
       34.85490      136.39326     0.06300    -0.00428     0.06728     0.00000
       34.60333      136.43194     0.04650    -0.01314     0.05964     0.00000
       35.35973      136.47031     0.09070     0.00433     0.08637     0.00000
       34.42033      136.47446     0.03700    -0.01752     0.05452     0.00000
       35.63615      136.48877     0.07380    -0.02437     0.09817     0.00000
       34.75900      136.50229     0.06450    -0.00036     0.06486     0.00000
       35.10476      136.50376     0.05680    -0.02012     0.07692     0.00000
