       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.00472     0.00932     0.00000
       35.08572      136.04120     0.01580     0.00556     0.01024     0.00000
       34.71065      136.04189     0.01950     0.00935     0.01015     0.00000
       36.10973      136.04895     0.02040     0.01500     0.00540     0.00000
       34.56703      136.05039     0.01800     0.00802     0.00998     0.00000
       35.46629      136.05367     0.03150     0.02197     0.00953     0.00000
       34.86933      136.05483     0.01730     0.00698     0.01032     0.00000
       35.83684      136.05598     0.00320    -0.00448     0.00768     0.00000
       35.31897      136.06283     0.00070    -0.00929     0.00999     0.00000
       35.60256      136.10581     0.02140     0.01214     0.00926     0.00000
       34.98638      136.14504     0.02900     0.01830     0.01070     0.00000
       35.09473      136.15823     0.01630     0.00557     0.01073     0.00000
       36.23117      136.17297     0.01970     0.01493     0.00477     0.00000
       34.49387      136.17315     0.01320     0.00302     0.01018     0.00000
       34.74287      136.18345     0.02880     0.01814     0.01066     0.00000
       35.96889      136.18499     0.01350     0.00610     0.00740     0.00000
       35.79278      136.19739     0.02240     0.01366     0.00874     0.00000
       35.55733      136.19795     0.02920     0.01925     0.00995     0.00000
       34.06066      136.19836     0.02990     0.02085     0.00905     0.00000
       35.26944      136.23561     0.01750     0.00659     0.01091     0.00000
       35.42036      136.26475     0.01060    -0.00015     0.01075     0.00000
       36.14562      136.27894     0.02400     0.01771     0.00629     0.00000
       34.93073      136.29557     0.01100    -0.00028     0.01128     0.00000
       34.64875      136.32976     0.02000     0.00903     0.01097     0.00000
       34.43314      136.33426     0.02410     0.01365     0.01045     0.00000
       35.88822      136.33958     0.02730     0.01837     0.00893     0.00000
       34.20816      136.34293    -0.00870    -0.01847     0.00977     0.00000
       36.22956      136.36165     0.02780     0.02196     0.00584     0.00000
       34.29793      136.38849    -0.00090    -0.01105     0.01015     0.00000
       36.39446      136.38894     0.00530     0.00144     0.00386     0.00000
       34.85490      136.39326     0.01210     0.00053     0.01157     0.00000
       34.60333      136.43194     0.00500    -0.00618     0.01118     0.00000
       35.35973      136.47031     0.01950     0.00751     0.01199     0.00000
       34.42033      136.47446     0.02070     0.00995     0.01075     0.00000
       35.63615      136.48877     0.04270     0.03140     0.01130     0.00000
       34.75900      136.50229     0.00640    -0.00539     0.01179     0.00000
       35.10476      136.50376     0.04840     0.03610     0.01230     0.00000
       35.98491      136.50492     0.04050     0.03128     0.00922     0.00000
       34.28507      136.54048     0.00860    -0.00181     0.01041     0.00000
       36.53727      136.54067     0.01740     0.01491     0.00249     0.00000
       35.48006      136.54529     0.01680     0.00463     0.01217     0.00000
       35.37171      136.54974     0.02500     0.01259     0.01241     0.00000
       34.54705      136.55066     0.02070     0.00934     0.01136     0.00000
       35.22791      136.59344     0.02180     0.00904     0.01276     0.00000
       36.37007      136.60533     0.01790     0.01239     0.00551     0.00000
       35.63290      136.61139     0.01630     0.00420     0.01210     0.00000
       34.43144      136.62840     0.01970     0.00855     0.01115     0.00000
       36.16529      136.63395     0.02260     0.01427     0.00833     0.00000
       34.91380      136.63650     0.00720    -0.00545     0.01265     0.00000
       36.66341      136.64994     0.01490     0.01413     0.00077     0.00000
       35.90141      136.65774     0.03060     0.01967     0.01093     0.00000
       35.48832      136.68728     0.03130     0.01827     0.01303     0.00000
       34.29661      136.69319     0.02850     0.01776     0.01074     0.00000
       35.05091      136.69425     0.02230     0.00915     0.01315     0.00000
       37.15674      136.71876     0.00870     0.01974    -0.01104     0.00000
       34.49000      136.72823     0.01860     0.00698     0.01162     0.00000
       35.40513      136.72875     0.02510     0.01168     0.01342     0.00000
       36.81748      136.75565     0.00560     0.00761    -0.00201     0.00000
       37.00072      136.77271     0.00530     0.01186    -0.00656     0.00000
       35.72349      136.78462     0.03220     0.01930     0.01290     0.00000
       35.30084      136.78882     0.01130    -0.00254     0.01384     0.00000
       34.37358      136.80200     0.02580     0.01452     0.01128     0.00000
       36.59209      136.80640     0.01870     0.01562     0.00308     0.00000
       34.25344      136.82061     0.02160     0.01084     0.01076     0.00000
       35.19011      136.82883     0.02070     0.00669     0.01401     0.00000
       34.90438      136.83188     0.02800     0.01457     0.01343     0.00000
       34.46539      136.85113     0.00450    -0.00730     0.01180     0.00000
       34.98439      136.86275     0.01830     0.00451     0.01379     0.00000
       35.86694      136.86318     0.02550     0.01280     0.01270     0.00000
       34.82336      136.86764     0.00020    -0.01312     0.01332     0.00000
       37.38238      136.88917     0.00790     0.02626    -0.01836     0.00000
       35.52607      136.90002     0.00960    -0.00476     0.01436     0.00000
       36.26147      136.90427     0.01580     0.00660     0.00920     0.00000
       37.22644      136.90877     0.03380     0.04686    -0.01306     0.00000
       37.85050      136.91927    -0.01770     0.01896    -0.03666     0.00000
       36.40188      136.92056     0.02190     0.01463     0.00727     0.00000
       35.33476      136.92998     0.02430     0.00960     0.01470     0.00000
       34.74005      136.93848     0.04030     0.02705     0.01325     0.00000
       36.03305      136.95276     0.01640     0.00425     0.01215     0.00000
       35.16842      136.96580     0.01930     0.00458     0.01472     0.00000
       35.75778      136.97530     0.03050     0.01631     0.01419     0.00000
       34.54391      136.98175     0.01580     0.00331     0.01249     0.00000
       37.12316      136.99607     0.02330     0.03290    -0.00960     0.00000
       36.74062      136.99613     0.01630     0.01520     0.00110     0.00000
       36.91951      137.02643     0.02540     0.02876    -0.00336     0.00000
       36.64956      137.03190     0.04750     0.04407     0.00343     0.00000
       37.43226      137.03394     0.00270     0.02326    -0.02056     0.00000
       35.12811      137.04128     0.03040     0.01536     0.01504     0.00000
       34.99499      137.05978     0.02360     0.00887     0.01473     0.00000
       34.60924      137.06807     0.00730    -0.00574     0.01304     0.00000
       35.23909      137.07357     0.01530    -0.00017     0.01547     0.00000
       36.14026      137.08053     0.01540     0.00321     0.01219     0.00000
       35.36737      137.11023     0.01730     0.00142     0.01588     0.00000
       34.79487      137.11900     0.03440     0.02027     0.01413     0.00000
       35.47870      137.12469     0.02230     0.00629     0.01601     0.00000
       37.30697      137.13854    -0.00350     0.01243    -0.01593     0.00000
       36.33551      137.14717     0.03280     0.02255     0.01025     0.00000
       34.91734      137.15239     0.01700     0.00217     0.01483     0.00000
       36.75795      137.15447     0.03230     0.03058     0.00172     0.00000
       35.61209      137.17414     0.02810     0.01184     0.01626     0.00000
       36.63434      137.19520     0.02510     0.02008     0.00502     0.00000
       35.91163      137.20067     0.03160     0.01630     0.01530     0.00000
       36.47280      137.23922     0.00000    -0.00877     0.00877     0.00000
       35.80048      137.24837     0.04240     0.02606     0.01634     0.00000
       35.30055      137.25232     0.02410     0.00738     0.01672     0.00000
       35.13875      137.25356     0.01230    -0.00393     0.01623     0.00000
       37.44603      137.27005    -0.00440     0.01746    -0.02186     0.00000
       34.64866      137.27784     0.03020     0.01637     0.01383     0.00000
       34.91975      137.29994     0.01150    -0.00397     0.01547     0.00000
       35.52313      137.30909     0.01540    -0.00202     0.01742     0.00000
       35.03946      137.31316     0.01370    -0.00243     0.01613     0.00000
       34.78591      137.33877     0.01540     0.00055     0.01485     0.00000
       36.13599      137.34791     0.01310    -0.00176     0.01486     0.00000
       36.28564      137.36302     0.02830     0.01517     0.01313     0.00000
       36.73696      137.36951     0.02730     0.02338     0.00392     0.00000
       35.26197      137.40561     0.02780     0.01020     0.01760     0.00000
       34.96748      137.42313     0.01120    -0.00506     0.01626     0.00000
       35.65719      137.42477     0.03160     0.01326     0.01834     0.00000
       34.86482      137.43400     0.00090    -0.01478     0.01568     0.00000
       36.57871      137.43990     0.03120     0.02267     0.00853     0.00000
       34.68038      137.44245     0.02620     0.01173     0.01447     0.00000
       35.81555      137.45088     0.02850     0.01027     0.01823     0.00000
       35.39676      137.46757     0.03940     0.02094     0.01846     0.00000
       36.92896      137.48723     0.00520     0.00620    -0.00100     0.00000
       34.71805      137.51493     0.01060    -0.00433     0.01493     0.00000
       35.57509      137.52878     0.01500    -0.00429     0.01929     0.00000
       35.97346      137.53487     0.01650    -0.00182     0.01832     0.00000
       36.86434      137.55133     0.01140     0.00975     0.00165     0.00000
       34.80873      137.55434     0.01760     0.00188     0.01572     0.00000
       35.10002      137.57533     0.02070     0.00290     0.01780     0.00000
       34.93768      137.57549     0.01730     0.00058     0.01672     0.00000
       35.24700      137.58767     0.03360     0.01489     0.01871     0.00000
       35.88000      137.59827     0.02830     0.00876     0.01954     0.00000
       35.66123      137.62016     0.02380     0.00361     0.02019     0.00000
       34.70212      137.63688     0.00810    -0.00702     0.01512     0.00000
       34.83533      137.67234     0.01380    -0.00250     0.01630     0.00000
       35.34373      137.67640    -0.00910    -0.02891     0.01981     0.00000
       34.75204      137.68078     0.01330    -0.00234     0.01564     0.00000
       36.08466      137.68263     0.02880     0.00956     0.01924     0.00000
       35.07929      137.69524     0.01590    -0.00239     0.01829     0.00000
       35.78362      137.69626     0.02640     0.00550     0.02090     0.00000
       34.67231      137.72338     0.01510     0.00004     0.01506     0.00000
       35.94460      137.78544     0.03190     0.01042     0.02148     0.00000
       34.79284      137.79179     0.01340    -0.00289     0.01629     0.00000
       35.77753      137.81448     0.04040     0.01816     0.02224     0.00000
       35.52109      137.81524     0.03170     0.00994     0.02176     0.00000
       34.94134      137.81794     0.01770    -0.00001     0.01771     0.00000
