       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264    -0.00630     0.00055    -0.00685     0.00000
       35.08572      136.04120     0.02390     0.02555    -0.00165     0.00000
       34.71065      136.04189    -0.00210     0.00239    -0.00449     0.00000
       36.10973      136.04895     0.01130     0.00284     0.00846     0.00000
       34.56703      136.05039     0.00510     0.01059    -0.00549     0.00000
       35.46629      136.05367    -0.03930    -0.04099     0.00169     0.00000
       34.86933      136.05483    -0.00940    -0.00598    -0.00342     0.00000
       35.83684      136.05598     0.01130     0.00586     0.00544     0.00000
       35.31897      136.06283     0.01430     0.01402     0.00028     0.00000
       35.60256      136.10581    -0.01800    -0.02084     0.00284     0.00000
       34.98638      136.14504     0.00710     0.01007    -0.00297     0.00000
       35.09473      136.15823    -0.01630    -0.01416    -0.00214     0.00000
       36.23117      136.17297    -0.02600    -0.03566     0.00966     0.00000
       34.49387      136.17315    -0.00130     0.00533    -0.00663     0.00000
       34.74287      136.18345     0.03180     0.03682    -0.00502     0.00000
       35.96889      136.18499    -0.01630    -0.02285     0.00655     0.00000
       35.79278      136.19739    -0.02670    -0.03123     0.00453     0.00000
       35.55733      136.19795    -0.02300    -0.02502     0.00202     0.00000
       34.06066      136.19836     0.02150     0.03063    -0.00913     0.00000
       35.26944      136.23561     0.01320     0.01417    -0.00097     0.00000
       35.42036      136.26475    -0.00420    -0.00454     0.00034     0.00000
       36.14562      136.27894    -0.01430    -0.02272     0.00842     0.00000
       34.93073      136.29557    -0.01440    -0.01017    -0.00423     0.00000
       34.64875      136.32976    -0.01290    -0.00636    -0.00654     0.00000
       34.43314      136.33426    -0.01900    -0.01104    -0.00796     0.00000
       35.88822      136.33958     0.00560     0.00046     0.00514     0.00000
       34.20816      136.34293     0.02280     0.03208    -0.00928     0.00000
       36.22956      136.36165    -0.02530    -0.03459     0.00929     0.00000
       34.29793      136.38849    -0.02030    -0.01121    -0.00909     0.00000
       36.39446      136.38894    -0.01540    -0.02680     0.01140     0.00000
       34.85490      136.39326    -0.01040    -0.00499    -0.00541     0.00000
       34.60333      136.43194     0.01330     0.02079    -0.00749     0.00000
       35.35973      136.47031    -0.02950    -0.02819    -0.00131     0.00000
       34.42033      136.47446    -0.00340     0.00555    -0.00895     0.00000
       35.63615      136.48877     0.05130     0.04972     0.00158     0.00000
       34.75900      136.50229    -0.03040    -0.02356    -0.00684     0.00000
       35.10476      136.50376    -0.00800    -0.00403    -0.00397     0.00000
       35.98491      136.50492     0.02310     0.01735     0.00575     0.00000
       34.28507      136.54048     0.03430     0.04447    -0.01017     0.00000
       36.53727      136.54067     0.01590     0.00272     0.01318     0.00000
       35.48006      136.54529     0.02050     0.02095    -0.00045     0.00000
       35.37171      136.54974     0.00080     0.00244    -0.00164     0.00000
       34.54705      136.55066     0.01600     0.02466    -0.00866     0.00000
       35.22791      136.59344    -0.01940    -0.01604    -0.00336     0.00000
       36.37007      136.60533     0.00520    -0.00549     0.01069     0.00000
       35.63290      136.61139     0.01150     0.01057     0.00093     0.00000
       34.43144      136.62840    -0.03200    -0.02205    -0.00995     0.00000
       36.16529      136.63395    -0.01150    -0.01922     0.00772     0.00000
       34.91380      136.63650    -0.01020    -0.00368    -0.00652     0.00000
       36.66341      136.64994    -0.00680    -0.02174     0.01494     0.00000
       35.90141      136.65774    -0.01980    -0.02385     0.00405     0.00000
       35.48832      136.68728     0.01320     0.01438    -0.00118     0.00000
       34.29661      136.69319     0.02450     0.03570    -0.01120     0.00000
       35.05091      136.69425     0.00060     0.00632    -0.00572     0.00000
       37.15674      136.71876    -0.01490    -0.03738     0.02248     0.00000
       34.49000      136.72823    -0.00830     0.00202    -0.01032     0.00000
       35.40513      136.72875     0.00540     0.00777    -0.00237     0.00000
       36.81748      136.75565    -0.00630    -0.02359     0.01729     0.00000
       37.00072      136.77271     0.01330    -0.00688     0.02018     0.00000
       35.72349      136.78462    -0.00860    -0.00969     0.00109     0.00000
       35.30084      136.78882    -0.00200     0.00190    -0.00390     0.00000
       34.37358      136.80200     0.03530     0.04689    -0.01159     0.00000
       36.59209      136.80640    -0.00260    -0.01629     0.01369     0.00000
       34.25344      136.82061    -0.00550     0.00690    -0.01240     0.00000
       35.19011      136.82883     0.00240     0.00774    -0.00534     0.00000
       34.90438      136.83188    -0.00580     0.00223    -0.00803     0.00000
       34.46539      136.85113    -0.01660    -0.00517    -0.01143     0.00000
       34.98439      136.86275    -0.00230     0.00527    -0.00757     0.00000
       35.86694      136.86318    -0.03590    -0.03846     0.00256     0.00000
       34.82336      136.86764     0.01240     0.02139    -0.00899     0.00000
       37.38238      136.88917    -0.01060    -0.03706     0.02646     0.00000
       35.52607      136.90002     0.00630     0.00841    -0.00211     0.00000
       36.26147      136.90427     0.01680     0.00860     0.00820     0.00000
       37.22644      136.90877     0.01440    -0.00966     0.02406     0.00000
       37.85050      136.91927     0.01930    -0.01404     0.03334     0.00000
       36.40188      136.92056     0.01670     0.00632     0.01038     0.00000
       35.33476      136.92998    -0.02220    -0.01764    -0.00456     0.00000
       34.74005      136.93848     0.01190     0.02213    -0.01023     0.00000
       36.03305      136.95276     0.00560     0.00113     0.00447     0.00000
       35.16842      136.96580    -0.01600    -0.00938    -0.00662     0.00000
       35.75778      136.97530    -0.00040    -0.00078     0.00038     0.00000
       34.54391      136.98175     0.04120     0.05320    -0.01200     0.00000
       37.12316      136.99607     0.00770    -0.01484     0.02254     0.00000
       36.74062      136.99613    -0.01160    -0.02752     0.01592     0.00000
       36.91951      137.02643    -0.02380    -0.04283     0.01903     0.00000
       36.64956      137.03190    -0.01210    -0.02639     0.01429     0.00000
       37.43226      137.03394     0.01280    -0.01503     0.02783     0.00000
       35.12811      137.04128    -0.01910    -0.01145    -0.00765     0.00000
       34.99499      137.05978    -0.00450     0.00460    -0.00910     0.00000
       34.60924      137.06807     0.00020     0.01251    -0.01231     0.00000
       35.23909      137.07357    -0.02680    -0.02004    -0.00676     0.00000
       36.14026      137.08053    -0.03640    -0.04188     0.00548     0.00000
       35.36737      137.11023    -0.02160    -0.01598    -0.00562     0.00000
       34.79487      137.11900    -0.00990     0.00147    -0.01137     0.00000
       35.47870      137.12469     0.00610     0.01049    -0.00439     0.00000
       37.30697      137.13854     0.04850     0.02242     0.02608     0.00000
       36.33551      137.14717     0.01600     0.00757     0.00843     0.00000
       34.91734      137.15239    -0.01020     0.00044    -0.01064     0.00000
       36.75795      137.15447     0.00700    -0.00904     0.01604     0.00000
       35.61209      137.17414     0.01830     0.02136    -0.00306     0.00000
       36.63434      137.19520     0.00130    -0.01235     0.01365     0.00000
       35.91163      137.20067    -0.00520    -0.00630     0.00110     0.00000
       36.47280      137.23922    -0.02120    -0.03170     0.01050     0.00000
       35.80048      137.24837    -0.00270    -0.00174    -0.00096     0.00000
       35.30055      137.25232    -0.00300     0.00467    -0.00767     0.00000
       35.13875      137.25356    -0.01110    -0.00164    -0.00946     0.00000
       37.44603      137.27005     0.00420    -0.02482     0.02902     0.00000
       34.64866      137.27784    -0.00290     0.01110    -0.01400     0.00000
       34.91975      137.29994    -0.02310    -0.01105    -0.01205     0.00000
       35.52313      137.30909     0.00120     0.00663    -0.00543     0.00000
       35.03946      137.31316     0.01850     0.02956    -0.01106     0.00000
       34.78591      137.33877    -0.00270     0.01088    -0.01358     0.00000
